fno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
298,7,2,0,2,3,4,3,1,2,0,1,1,2,5,4,5,2,4,1,0,3
299,1,2,3,1,1,0,2,2,0,0,0,5,1,3,1,3,2,1,2,2,0
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,1,0,2,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0
303,1,0,0,2,0,0,0,1,0,0,0,0,3,1,0,1,0,0,0,0,2
304,1,1,0,0,1,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,1
305,2,0,1,0,1,1,0,0,2,0,0,2,0,0,0,1,0,1,0,1,1
306,13,8,7,8,7,3,7,8,7,5,9,2,7,5,7,10,7,10,2,5,5
307,5,5,7,1,5,3,4,3,1,1,5,2,5,3,6,3,2,3,2,2,3
308,4,5,4,3,5,5,2,3,4,7,8,3,4,5,2,2,0,3,5,5,6
309,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
310,3,2,1,4,0,0,3,4,4,5,2,4,4,4,2,2,2,6,3,4,3
311,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
